NAMESPACE                                          NAME                                                     READY   STATUS             RESTARTS   AGE     IP               NODE           NOMINATED NODE   READINESS GATES
calico-system                                      calico-kube-controllers-76fd7d8788-4fm2h                 1/1     Running            0          2d22h   172.30.184.138   10.242.64.4    <none>           <none>
calico-system                                      calico-node-68p49                                        0/1     CrashLoopBackOff   1029       2d22h   10.242.64.5      10.242.64.5    <none>           <none>
calico-system                                      calico-node-jcw85                                        0/1     Running            742        2d22h   10.242.64.4      10.242.64.4    <none>           <none>
calico-system                                      calico-node-kknjc                                        0/1     Running            661        2d22h   10.242.128.6     10.242.128.6   <none>           <none>
calico-system                                      calico-node-tbtmg                                        0/1     Running            847        2d22h   10.242.0.4       10.242.0.4     <none>           <none>
calico-system                                      calico-node-ts5qh                                        0/1     Running            837        2d22h   10.242.0.5       10.242.0.5     <none>           <none>
calico-system                                      calico-node-vjz6n                                        0/1     Running            1264       2d22h   10.242.128.7     10.242.128.7   <none>           <none>
calico-system                                      calico-typha-6c7fc69d6d-4v6zz                            1/1     Running            0          2d22h   10.242.0.4       10.242.0.4     <none>           <none>
calico-system                                      calico-typha-6c7fc69d6d-5cn77                            1/1     Running            0          2d22h   10.242.64.5      10.242.64.5    <none>           <none>
calico-system                                      calico-typha-6c7fc69d6d-dlf8m                            1/1     Running            161        2d22h   10.242.64.4      10.242.64.4    <none>           <none>
calico-system                                      calico-typha-6c7fc69d6d-m7hb9                            1/1     Running            0          2d22h   10.242.128.7     10.242.128.7   <none>           <none>
kube-system                                        ibm-keepalived-watcher-72dtj                             1/1     Running            0          2d22h   10.242.128.6     10.242.128.6   <none>           <none>
kube-system                                        ibm-keepalived-watcher-d4jtv                             1/1     Running            0          2d23h   10.242.64.5      10.242.64.5    <none>           <none>
kube-system                                        ibm-keepalived-watcher-hr86p                             1/1     Running            0          2d23h   10.242.64.4      10.242.64.4    <none>           <none>
kube-system                                        ibm-keepalived-watcher-ltqv7                             1/1     Running            0          2d23h   10.242.0.5       10.242.0.5     <none>           <none>
kube-system                                        ibm-keepalived-watcher-nqlf6                             1/1     Running            0          2d22h   10.242.0.4       10.242.0.4     <none>           <none>
kube-system                                        ibm-keepalived-watcher-z5bdk                             1/1     Running            0          2d22h   10.242.128.7     10.242.128.7   <none>           <none>
kube-system                                        ibm-master-proxy-static-10.242.0.4                       2/2     Running            0          2d22h   10.242.0.4       10.242.0.4     <none>           <none>
kube-system                                        ibm-master-proxy-static-10.242.0.5                       2/2     Running            0          2d23h   10.242.0.5       10.242.0.5     <none>           <none>
kube-system                                        ibm-master-proxy-static-10.242.128.6                     2/2     Running            0          2d22h   10.242.128.6     10.242.128.6   <none>           <none>
kube-system                                        ibm-master-proxy-static-10.242.128.7                     2/2     Running            0          2d22h   10.242.128.7     10.242.128.7   <none>           <none>
kube-system                                        ibm-master-proxy-static-10.242.64.4                      2/2     Running            0          2d23h   10.242.64.4      10.242.64.4    <none>           <none>
kube-system                                        ibm-master-proxy-static-10.242.64.5                      2/2     Running            0          2d22h   10.242.64.5      10.242.64.5    <none>           <none>
kube-system                                        portworx-2ptwr                                           1/1     Running            1          2d18h   10.242.64.4      10.242.64.4    <none>           <none>
kube-system                                        portworx-api-2vp92                                       1/1     Running            3          2d18h   10.242.128.7     10.242.128.7   <none>           <none>
kube-system                                        portworx-api-65wq8                                       1/1     Running            4          2d18h   10.242.64.4      10.242.64.4    <none>           <none>
kube-system                                        portworx-api-78xl5                                       1/1     Running            4          2d18h   10.242.0.5       10.242.0.5     <none>           <none>
kube-system                                        portworx-api-ckbcs                                       1/1     Running            2          2d18h   10.242.0.4       10.242.0.4     <none>           <none>
kube-system                                        portworx-api-g4k77                                       1/1     Running            2          2d18h   10.242.64.5      10.242.64.5    <none>           <none>
kube-system                                        portworx-api-mlpf7                                       1/1     Running            3          2d18h   10.242.128.6     10.242.128.6   <none>           <none>
kube-system                                        portworx-bjfgk                                           1/1     Running            2          2d18h   10.242.128.6     10.242.128.6   <none>           <none>
kube-system                                        portworx-d4f64                                           1/1     Running            3          2d18h   10.242.128.7     10.242.128.7   <none>           <none>
kube-system                                        portworx-ns4qn                                           1/1     Running            1          2d18h   10.242.0.4       10.242.0.4     <none>           <none>
kube-system                                        portworx-pvc-controller-88f85f974-4t42t                  0/1     CrashLoopBackOff   689        2d18h   10.242.64.4      10.242.64.4    <none>           <none>
kube-system                                        portworx-pvc-controller-88f85f974-hmqkd                  0/1     Running            783        2d18h   10.242.0.4       10.242.0.4     <none>           <none>
kube-system                                        portworx-pvc-controller-88f85f974-kt5xd                  0/1     CrashLoopBackOff   985        2d18h   10.242.64.5      10.242.64.5    <none>           <none>
kube-system                                        portworx-tbpfj                                           1/1     Running            2          2d18h   10.242.64.5      10.242.64.5    <none>           <none>
kube-system                                        portworx-tkbdh                                           1/1     Running            2          2d18h   10.242.0.5       10.242.0.5     <none>           <none>
kube-system                                        px-hook-etcd-preinstall-c47mw                            0/1     Completed          0          2d18h   172.30.63.146    10.242.0.5     <none>           <none>
kube-system                                        stork-54fbfb5c9b-2vjlc                                   1/1     Running            1          2d18h   172.30.63.147    10.242.0.5     <none>           <none>
kube-system                                        stork-54fbfb5c9b-cxkqf                                   1/1     Running            2          2d18h   172.30.42.249    10.242.128.6   <none>           <none>
kube-system                                        stork-54fbfb5c9b-fq5xd                                   1/1     Running            2          2d18h   172.30.151.69    10.242.128.7   <none>           <none>
kube-system                                        stork-scheduler-97f9ffcd5-jdl8l                          1/1     Running            281        2d18h   172.30.126.15    10.242.0.4     <none>           <none>
kube-system                                        stork-scheduler-97f9ffcd5-ndnjp                          0/1     CrashLoopBackOff   406        2d18h   172.30.63.148    10.242.0.5     <none>           <none>
